Kategorie,Studienfach
"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin",Pflanzenproduktion
"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin",Tierproduktion
"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin",Weinbau und Kellerwirtschaft
"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin","Forstwissenschaft, -wirtschaft"
"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin",Holzwirtschaft
"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin",Ernährungswissenschaft
"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin",Haushalts- und Ernährungswissenschaft
"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin",Haushaltswissenschaft
Ingenieurwissenschaften,Angewandte Systemwissenschaften
Ingenieurwissenschaften,Interdisziplinäre Studien (Schwerpunkt Ingenieurwissenschaften)
Ingenieurwissenschaften,Lernbereich Technik
Ingenieurwissenschaften,Mechatronik
Ingenieurwissenschaften,Medientechnik
Ingenieurwissenschaften,Regenerative Energien
Ingenieurwissenschaften,Werken (technisch)/Technologie
Ingenieurwissenschaften,Archäometrie (Ingenieurarchäologie)
Ingenieurwissenschaften,Bergbau/Bergtechnik
Ingenieurwissenschaften,Hütten- und Gießereiwesen
Ingenieurwissenschaften,Markscheidewesen
Ingenieurwissenschaften,Abfallwirtschaft
Ingenieurwissenschaften,Augenoptik
Ingenieurwissenschaften,Chemie-Ingenieurwesen/Chemieverfahrenstechnik
Ingenieurwissenschaften,Druck- und Reproduktionstechnik
Ingenieurwissenschaften,Energieverfahrenstechnik
Ingenieurwissenschaften,Feinwerktechnik
Ingenieurwissenschaften,Fertigungs-/Produktionstechnik
Ingenieurwissenschaften,Gesundheitstechnik
Ingenieurwissenschaften,Glastechnik/Keramik
Ingenieurwissenschaften,Holz-/Fasertechnik
Ingenieurwissenschaften,Kunststofftechnik
Ingenieurwissenschaften,Maschinenbau/-wesen
Ingenieurwissenschaften,Metalltechnik
Ingenieurwissenschaften,Physikalische Technik/Mechanische Verfahrenstechnik
Ingenieurwissenschaften,Technische Kybernetik
Ingenieurwissenschaften,Textil- und Bekleidungstechnik/-gewerbe
Ingenieurwissenschaften,Transport-/Fördertechnik
Ingenieurwissenschaften,Umwelttechnik (einschl. Recycling)
Ingenieurwissenschaften,Verfahrenstechnik
Ingenieurwissenschaften,Versorgungstechnik
Ingenieurwissenschaften,Elektrische Energietechnik
Ingenieurwissenschaften,Elektrotechnik/Elektronik
Ingenieurwissenschaften,Mikroelektronik
Ingenieurwissenschaften,Mikrosystemtechnik
